smiles,k_exp,name,category,source,rdkit_valid,smiles_src
FC(F)(F)C(F)(F)F,1.693,Perfluoroethane,fluorinated,CRC Handbook,True,crc_manual
CF,1.73,Fluoromethane,halogen,CRC Handbook,True,crc_manual
FC(F)(F)C(F)(F)C(F)(F)F,1.73,Perfluoropropane,fluorinated,CRC Handbook,True,crc_manual
CC(C)(C)C,1.769,Neopentane,alkane,CRC Handbook,True,crc_manual
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.78,Perfluorobutane,fluorinated,CRC Handbook,True,crc_manual
FC(F)(F)CCCCC(F)(F)F,1.82,Perfluorohexane,fluorinated,CRC Handbook,True,crc_manual
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,1.82,Perfluoromethylcyclohexane,fluorinated,Polymer Handbook,True,fallback
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.82,Perfluorotributylamine,fluorinated,Polymer Handbook,True,fallback
CCCCC,1.837,Pentane,alkane,CRC Handbook,True,crc_manual
CC(C)(C)CC,1.869,"2,2-Dimethylbutane",alkane,CRC Handbook,True,crc_manual
CC(C)CCC,1.886,2-Methylpentane,alkane,CRC Handbook,True,crc_manual
CCC(C)CC,1.886,3-Methylpentane,alkane,CRC Handbook,True,crc_manual
CCCCCC,1.886,Hexane,alkane,CRC Handbook,True,crc_manual
CCC(C)(C)C,1.888,"2,3-Dimethylbutane",alkane,CRC Handbook,True,crc_manual
CCF,1.89,Fluoroethane,halogen,CRC Handbook,True,crc_manual
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.89,Perfluorooctane,fluorinated,Polymer Handbook,True,fallback
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.91,Perfluorodecane,fluorinated,Polymer Handbook,True,fallback
CCCCCCC,1.921,Heptane,alkane,CRC Handbook,True,crc_manual
CC(C)CCCC,1.921,2-Methylhexane,alkane,CRC Handbook,True,crc_manual
C[Si](C)(C)C,1.921,Tetramethylsilane,silicon,CRC Handbook,True,crc_manual
CC(C)CC(C)C,1.926,"2,4-Dimethylpentane",alkane,CRC Handbook,True,crc_manual
CC(C)(C)CC(C)(C)C,1.94,"2,2,4-Trimethylpentane",alkane,CRC Handbook,True,crc_manual
C1CCC1,1.942,Cyclobutane,cycloalkane,CRC Handbook,True,crc_manual
CCCC(C)CCC,1.943,4-Methylheptane,alkane,CRC Handbook,True,crc_manual
CCCCCCCC,1.946,Octane,alkane,CRC Handbook,True,crc_manual
FC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,1.95,PFPE-short,fluorinated,CRC Handbook,True,crc_manual
C1CCCC1,1.965,Cyclopentane,cycloalkane,CRC Handbook,True,crc_manual
CCCCCCCCC,1.972,Nonane,alkane,CRC Handbook,True,crc_manual
CCCCCCCCCC,1.985,Decane,alkane,CRC Handbook,True,crc_manual
CC1CCCC1,1.987,Methylcyclopentane,cycloalkane,CRC Handbook,True,crc_manual
FC1(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C12F,2.0,Perfluorodecalin,fluorinated,Polymer Handbook,True,fallback
CCCCCCCCCCCC,2.012,Dodecane,alkane,CRC Handbook,True,crc_manual
CC(C)C1CCCCC1,2.023,Isopropylcyclohexane,cycloalkane,CRC Handbook,True,crc_manual
C1CCCCC1,2.024,Cyclohexane,cycloalkane,CRC Handbook,True,crc_manual
CC1CCCCC1,2.024,Methylcyclohexane,cycloalkane,CRC Handbook,True,crc_manual
FC1=C(F)C(F)=C(F)C(F)=C1F,2.029,Hexafluorobenzene,fluorinated,CRC Handbook,True,crc_manual
C(F)(F)(F)OC(F)(F)F,2.034,Perfluorodimethyl ether,fluorinated,CRC Handbook,True,crc_manual
CCCCCCCCCCCCCC,2.037,Tetradecane,alkane,CRC Handbook,True,crc_manual
CCCCCCCCCCCCCCCC,2.046,Hexadecane,alkane,CRC Handbook,True,crc_manual
FC(F)(F)[Si](O)(O)O,2.05,F-POSS-unit,silicon,CRC Handbook,True,crc_manual
CCCCC=C,2.077,1-Hexene,alkane,CRC Handbook,True,fallback
C1CCCCCC1,2.079,Cycloheptane,cycloalkane,CRC Handbook,True,crc_manual
CCCCCCC=C,2.113,1-Octene,alkane,CRC Handbook,True,fallback
C1CCCCCCC1,2.116,Cyclooctane,cycloalkane,CRC Handbook,True,crc_manual
C[Si](C)(C)Cl,2.13,Trimethylchlorosilane,silicon,Polymer Handbook,True,fallback
FC1(F)C(F)(F)C(F)(F)C1(F)F,2.13,Perfluorocyclobutane,fluorinated,CRC Handbook,True,fallback
CCCCCCCCC=C,2.136,1-Decene,alkane,CRC Handbook,True,fallback
C[Si](C)(C)O[Si](C)(C)C,2.179,HMDSO,silicon,CRC Handbook,True,crc_manual
C[Si](C)(C)O[Si](C)(C)C,2.179,Hexamethyldisiloxane,silicon,Polymer Handbook,True,fallback
C1CCC2CCCCC2C1,2.184,trans-Decalin,cycloalkane,CRC Handbook,True,crc_manual
C1CCOCC1,2.219,"1,4-Dioxane",ether,CRC Handbook,True,crc_manual
C1CCC2CCCCC2C1,2.219,cis-Decalin,cycloalkane,CRC Handbook,True,crc_manual
C1=CCCCC1,2.22,Cyclohexene,cycloalkane,CRC Handbook,True,fallback
ClC(Cl)(Cl)Cl,2.238,Tetrachloromethane,halogen,CRC Handbook,True,fallback
