smiles,k_exp,name,category,source,doi,note,rdkit_valid,smiles_src
C1CC2=CC=CC=C2C1,2.65,"BCB (Cyclotene, 1 MHz)",bcb_parylene,Microelectron. Eng. 1996,10.1016/S0167931796000615,"DVS-BCB fully cured; 1 MHz, RT",True,literature
C1CC2=CC=CC=C2C1,2.49,"BCB (Cyclotene, 11-65 GHz)",bcb_parylene,J. Infrared Millim. Terahertz Waves 2009,10.1007/s10762-009-9552-0,"CBCPW method, 11-65 GHz average",True,literature
Cc1ccc(C)cc1,2.65,Parylene N (1 kHz),bcb_parylene,SCS Parylene datasheet,,CVD film; repeat unit = p-xylylene; 60Hz/1kHz/1MHz 모두 2.65,True,literature
Cc1ccc(C)c(Cl)c1,3.1,Parylene C (1 kHz),bcb_parylene,SCS Parylene datasheet,,CVD film; mono-chloro p-xylylene; 1 kHz,True,literature
Cc1cc(Cl)cc(C)c1Cl,2.82,Parylene D (1 kHz),bcb_parylene,SCS Parylene datasheet,,CVD film; di-chloro p-xylylene; 1 kHz,True,literature
FC(F)(C1CC=CC1)F,2.3,Parylene AF4 (J. Fluorine Chem.),bcb_parylene,J. Fluorine Chem. 2003,10.1016/S0022-1139(03)00100-3,All-fluorinated CVD parylene; in/out-of-plane avg,True,literature
FC(F)(C1CC=CC1)F,2.17,Parylene HT (1 MHz),bcb_parylene,IEEE ECTC 2023,10.1109/ECTC51909.2023.00177,"Parylene HT = purified AF4; 1 MHz, Df=0.001",True,literature
FC(F)(C1CC=CC1)F,2.4,Parylene VT4 (0.1Hz-100kHz),bcb_parylene,Mater. Chem. Phys. 2013,10.1016/j.matchemphys.2013.07.036,Fluorinated variant; stable across freq/temp range,True,literature
c1ccc(-c2ccccc2)cc1,2.65,SiLK polyphenylene (1 MHz),low_k_special,MRS Proc. 1997,10.1557/PROC-476-9,Spin-on crosslinked polyphenylene; 1 MHz,True,literature
FC1(F)OC(F)(F)OC1(C(F)(F)F)C(F)(F)F,1.93,Teflon AF 1600/2400,fluorinated,DuPont datasheet / ResearchGate,,Copolymer of PTFE + perfluorodioxole; stable to GHz,True,literature
FC1(F)OC(F)(F)OC1(C(F)(F)F)C(F)(F)F,1.57,Porous Teflon AF (1 MHz),fluorinated,Mater. Sci. Eng. B 2001,10.1016/S0921-5107(01)00504-9,Porous AF1600 film; 1 MHz,True,literature
FC1(F)C(F)(F)OC(F)(F)C(F)(F)C1(F)F,2.1,CYTOP,fluorinated,AGC Chemicals datasheet,,Cyclic perfluoro ether polymer; volume resistivity >1e17 Ω·m,True,literature
C[Si](O)(O)O,2.7,MSQ dense film,silicon,Mol. Cryst. Liq. Cryst. 2001,10.1080/10587250108024702,Dense methylsilsesquioxane spin-on; k~2.7,True,literature
C[Si](O)(O)O,2.2,Porous MSQ (30 vol%),silicon,Mol. Cryst. Liq. Cryst. 2001,10.1080/10587250108024702,30 vol% porosity introduced; k~2.2,True,literature
C[Si](O)(O)O,2.1,MSQ + D4 porogen,silicon,Vacuum 2013,10.1016/j.vacuum.2013.01.030,D4 as sacrificial porogen; k~2.1,True,literature
[SiH](O)(O)O,2.85,HSQ dense (cured 400°C),silicon,Thin Solid Films 1998,10.1016/S0040-6090(98)01041-0,Spin-on HSQ; MOS capacitor; cured at 400°C/1h,True,literature
[SiH](O)(O)O,2.2,Porous HSQ (D4 porogen),silicon,J. Am. Ceram. Soc. 2007,10.1111/j.1551-2916.2007.01713.x,D4 sacrificial pores; k~2.2; 1kHz-1GHz stable,True,literature
c1ccc([Si](O)(O)O)cc1,2.24,BCB-POSS T8 (phenyl-POSS unit),silicon,Polymer 2023,10.1016/j.polymer.2023.126189,8-cage BCB-POSS; phenylsilanetriol as repeat unit proxy; 1 kHz,True,literature
c1ccc([Si](O)(O)O)cc1,2.02,BCB-POSS T10 (phenyl-POSS unit),silicon,Polymer 2023,10.1016/j.polymer.2023.126189,10-cage BCB-POSS; phenylsilanetriol as repeat unit proxy; 1 kHz,True,literature
